Date,Region,Revenue
2021-01-31,Revenue_USA,250000
2021-04-30,Revenue_USA,300000
2021-07-31,Revenue_USA,275000
2021-10-31,Revenue_USA,320000
2022-01-31,Revenue_USA,280000
2022-04-30,Revenue_USA,340000
2022-07-31,Revenue_USA,330000
2022-10-31,Revenue_USA,360000
2021-01-31,Revenue_Europe,150000
2021-04-30,Revenue_Europe,180000
2021-07-31,Revenue_Europe,160000
2021-10-31,Revenue_Europe,190000
2022-01-31,Revenue_Europe,170000
2022-04-30,Revenue_Europe,190000
2022-07-31,Revenue_Europe,210000
2022-10-31,Revenue_Europe,220000
2021-01-31,Revenue_Asia,100000
2021-04-30,Revenue_Asia,120000
2021-07-31,Revenue_Asia,115000
2021-10-31,Revenue_Asia,130000
2022-01-31,Revenue_Asia,110000
2022-04-30,Revenue_Asia,135000
2022-07-31,Revenue_Asia,150000
2022-10-31,Revenue_Asia,160000
